SRR10489251.558193#79	chr02	25728443	25735159	4490	chr02-25730673-25735162
SRR10489260.2269250#33	chr02	25728443	25732063	4490	chr02-25730673-25735162
SRR10489248.559654#0	chr02	25728443	25753006	4490	chr02-25730673-25735162
SRR10489252.248010#1	chr02	25728443	25749846	4490	chr02-25730673-25735162
SRR10489258.102863#0	chr02	24262717	24424382	516	chr02-24402789-24403304
SRR10489252.258398#2	chr02	24378899	24424382	516	chr02-24402789-24403304
SRR10489248.787263#3	chr02	24387519	24424382	516	chr02-24402789-24403304
SRR10489246.136074#0	chr02	11798348	11879154	387	chr02-11824054-11824440
SRR10489253.99765#0	chr02	33694603	33727488	3447	chr02-33713751-33717197
SRR10489260.1440302#0	chr02	33665436	33714505	3447	chr02-33713751-33717197
SRR10489262.437421#211	chr02	33707239	33727488	3447	chr02-33713751-33717197
SRR10489252.152358#1	chr02	29121998	29153123	2153	chr02-29130886-29133038
SRR10489260.663696#0	chr02	29121998	29153123	2153	chr02-29130886-29133038
SRR10489260.1082809#118	chr02	29121998	29134284	2153	chr02-29130886-29133038
SRR10489261.367752#53	chr02	17119336	17124285	1959	chr02-17122451-17124409
SRR10489257.153624#57	chr02	17119336	17124285	1959	chr02-17122451-17124409
SRR10489251.520133#54	chr02	17119336	17124285	1959	chr02-17122451-17124409
SRR10489260.2374230#3	chr02	45192080	45359260	2412	chr02-45191693-45194104
SRR10489262.395665#0	chr02	45150249	45391718	2412	chr02-45191693-45194104
SRR10489265.107001#2	chr02	45192080	45262369	2412	chr02-45191693-45194104
SRR10489253.141030#421	chr02	45192080	45227867	2412	chr02-45191693-45194104
SRR10489249.328998#5	chr02	24975663	25040401	1988	chr02-25015504-25017491
SRR10489260.1447883#2	chr02	24987600	25022892	1988	chr02-25015504-25017491
SRR10489260.302308#3	chr02	24975663	25027613	1988	chr02-25015504-25017491
SRR10489261.316892#1	chr02	39249562	39345425	3615	chr02-39270941-39274555
SRR10489261.438103#3	chr02	39235983	39295950	3615	chr02-39270941-39274555
SRR10489258.178983#5	chr02	39218593	39275115	3615	chr02-39270941-39274555
SRR10489261.194269#7	chr02	39218593	39275115	3615	chr02-39270941-39274555
SRR10489265.122524#0	chr02	41308052	41384802	5609	chr02-41342090-41347698
SRR10489262.249420#1	chr02	41308052	41384802	5609	chr02-41342090-41347698
SRR10489262.207931#1	chr02	41318378	41363163	5609	chr02-41342090-41347698
SRR10489262.120633#0	chr02	42996468	43264109	666	chr02-43000891-43001556
SRR10489249.274263#3	chr02	43001027	43022344	666	chr02-43000891-43001556
